internship_id,title,company,sector,required_skills,location,duration_months,stipend,education_requirement,description,slots_available,application_deadline
1,Cybersecurity Intern,Eicher Motors,IT,"Data Analysis, Excel, Python, Communication",Delhi,6,4000,High School,Work on real-world it projects and gain hands-on experience.,4,2025-10-12
2,Public Health Intern,Sun Pharma,Healthcare,"MS Office, Biology, Communication",Hyderabad,12,5000,Any,Support healthcare operations and contribute to team objectives.,3,2025-10-22
3,Web Development Intern,ICICI Bank,IT,"Communication, Python, Data Analysis",Lucknow,12,5000,Diploma,Assist with research and development in it field.,6,2025-12-01
4,Clinical Data Intern,Infosys,Healthcare,"Problem Solving, Biology, Research, MS Office",Rural,6,4000,High School,Assist with research and development in healthcare field.,9,2025-10-21
5,Risk Management Intern,Bajaj Finance,Finance,"Finance, Mathematics, Data Analysis, Communication",Hyderabad,12,4000,Diploma,Work on real-world finance projects and gain hands-on experience.,8,2025-11-13
6,Administrative Intern,HDFC Bank,Government,"English, MS Office, Research, Leadership",Delhi,6,4000,High School,Work on real-world government projects and gain hands-on experience.,10,2025-12-01
7,Administrative Intern,Tata Consultancy Services,Government,"Leadership, Research",Chandigarh,6,5000,High School,Learn industry best practices in government domain.,4,2025-11-19
8,Audit Intern,Sun Pharma,Finance,"Mathematics, Data Analysis, Excel",Mumbai,12,5000,Diploma,Work on real-world finance projects and gain hands-on experience.,2,2025-12-02
9,Social Media Intern,Tata Consultancy Services,Marketing,"Marketing, Design, MS Office, Social Media",Mumbai,12,6000,High School,Work on real-world marketing projects and gain hands-on experience.,8,2025-12-02
10,Educational Content Intern,State Bank of India,Education,"Communication, Leadership, MS Office",Hyderabad,6,5000,High School,Learn industry best practices in education domain.,8,2025-11-30
11,Quality Control Intern,Nestle India,Manufacturing,"Excel, Team Work",Ahmedabad,12,5000,Undergraduate,Assist with research and development in manufacturing field.,6,2025-11-22
12,Legal Affairs Intern,Dr. Reddy's Labs,Government,"Communication, Research, English, MS Office",Any Location,12,6000,Diploma,Work on real-world government projects and gain hands-on experience.,8,2025-11-04
13,Communication Intern,Hero MotoCorp,Government,"English, Communication, MS Office, Leadership",Rural,12,4000,Undergraduate,Contribute to innovative government solutions and processes.,9,2025-10-10
14,Student Support Intern,Wipro,Education,"Teaching, Leadership, English",Delhi,6,5000,High School,Learn industry best practices in education domain.,1,2025-11-19
15,Production Intern,Bharti Airtel,Manufacturing,"Team Work, Project Management, Excel, Problem Solving",Kolkata,12,5000,Diploma,Assist with research and development in manufacturing field.,9,2025-10-31
16,Agricultural Research Intern,Reliance Industries,Agriculture,"Agriculture, Research, Local Language, Field Work",Any Location,12,4000,Any,Support agriculture operations and contribute to team objectives.,2,2025-10-13
