student_id,name,age,gender,education_level,cgpa,previous_internships,location_type,family_income,digital_literacy,skills,preferred_sector,preferred_location
1,Student_1,20,Male,Diploma,8.47,0,Rural,<2 Lakh,Intermediate,"English, Communication",Agriculture,Chennai
2,Student_2,25,Female,Diploma,7.94,0,Semi-Urban,5-8 Lakh,Advanced,"Python, Biology, Teaching",IT,Chennai
3,Student_3,22,Female,Postgraduate,8.02,1,Rural,5-8 Lakh,Basic,"Social Media, Leadership, Biology, Communication, Local Language",Media,Mumbai
4,Student_4,21,Female,Diploma,5.56,3,Rural,<2 Lakh,Intermediate,"Biology, Customer Service, Excel, Project Management",Environment,Bangalore
5,Student_5,19,Female,Diploma,8.65,0,Urban,2-5 Lakh,Advanced,"Design, Java, Python, Excel, Data Analysis",Environment,Delhi
6,Student_6,19,Female,Undergraduate,7.51,0,Semi-Urban,<2 Lakh,Advanced,"Social Media, Agriculture, Team Work, Python, Customer Service",Media,Pune
7,Student_7,18,Female,Undergraduate,6.76,0,Rural,2-5 Lakh,Basic,"Data Analysis, Field Work",Government,Mumbai
8,Student_8,23,Female,Undergraduate,7.37,1,Urban,<2 Lakh,Advanced,"English, Field Work, Customer Service, Design",Environment,Bangalore
9,Student_9,21,Male,High School,5.07,0,Semi-Urban,2-5 Lakh,Basic,"Social Media, Finance, Project Management",Government,Rural
10,Student_10,22,Male,Undergraduate,7.69,1,Rural,2-5 Lakh,Intermediate,"Teaching, Mathematics, Python, Chemistry, Problem Solving",IT,Bangalore
11,Student_11,18,Male,High School,5.96,3,Urban,2-5 Lakh,Basic,"Field Work, Design, MS Office",IT,Mumbai
12,Student_12,25,Other,High School,5.58,1,Rural,5-8 Lakh,Basic,"Teaching, Leadership, Data Analysis, Chemistry, MS Office",NGO,Mumbai
13,Student_13,23,Female,Postgraduate,5.37,0,Urban,5-8 Lakh,Intermediate,"Communication, Excel, Marketing, Sales",NGO,Rural
14,Student_14,19,Male,High School,8.54,1,Semi-Urban,<2 Lakh,Intermediate,"Sales, Team Work, Teaching, Mathematics",Manufacturing,Delhi
15,Student_15,19,Female,Undergraduate,6.44,0,Urban,<2 Lakh,Basic,"Java, Biology",IT,Chennai
16,Student_16,19,Female,Undergraduate,9.04,2,Semi-Urban,5-8 Lakh,Basic,"Finance, Customer Service",IT,Chennai
17,Student_17,20,Male,Diploma,6.56,1,Rural,<2 Lakh,Intermediate,"Communication, Marketing, Excel, Customer Service",NGO,Rural
18,Student_18,21,Female,Postgraduate,5.15,0,Urban,>8 Lakh,Basic,"Research, English",Marketing,Pune
19,Student_19,20,Female,High School,5.86,1,Semi-Urban,5-8 Lakh,Intermediate,"Team Work, Sales, Project Management, Data Analysis",NGO,Rural
20,Student_20,20,Male,Undergraduate,8.68,1,Rural,2-5 Lakh,Basic,"Field Work, Excel",Marketing,Delhi
21,Student_21,21,Female,Postgraduate,7.01,1,Urban,>8 Lakh,Basic,"Java, Local Language, Social Media, Chemistry",IT,Mumbai
22,Student_22,19,Male,Undergraduate,6.54,0,Rural,<2 Lakh,Basic,"Research, Excel, Social Media",NGO,Mumbai
23,Student_23,20,Female,Postgraduate,7.39,2,Semi-Urban,2-5 Lakh,Intermediate,"Communication, Marketing, Teaching, Finance",Environment,Delhi
24,Student_24,20,Female,High School,7.8,2,Urban,2-5 Lakh,Basic,"English, Sales, Problem Solving, Data Analysis",Manufacturing,Mumbai
25,Student_25,21,Female,Undergraduate,8.54,1,Urban,2-5 Lakh,Basic,"Local Language, Teaching, Field Work",Education,Bangalore
26,Student_26,22,Male,Diploma,8.94,3,Urban,>8 Lakh,Advanced,"Local Language, English",Healthcare,Hyderabad
27,Student_27,19,Female,Undergraduate,6.77,0,Urban,<2 Lakh,Intermediate,"Excel, Team Work",Healthcare,Pune
28,Student_28,21,Female,Postgraduate,5.61,1,Rural,2-5 Lakh,Basic,"English, Problem Solving, Customer Service",NGO,Bangalore
29,Student_29,21,Male,Diploma,6.7,1,Rural,2-5 Lakh,Intermediate,"Biology, Social Media, Problem Solving",Education,Rural
30,Student_30,18,Female,Undergraduate,7.51,1,Urban,5-8 Lakh,Advanced,"Finance, Marketing, Teaching, English",Finance,Bangalore
31,Student_31,21,Male,Diploma,6.04,1,Urban,<2 Lakh,Basic,"Field Work, Customer Service, Social Media",Finance,Mumbai
32,Student_32,19,Female,Undergraduate,6.05,0,Urban,2-5 Lakh,Basic,"Local Language, MS Office, Chemistry",Media,Hyderabad
33,Student_33,18,Male,Undergraduate,7.61,0,Semi-Urban,5-8 Lakh,Intermediate,"Chemistry, Java, Social Media",NGO,Delhi
34,Student_34,24,Male,Postgraduate,7.14,0,Urban,<2 Lakh,Intermediate,"Java, Mathematics",Marketing,Delhi
35,Student_35,25,Male,Undergraduate,7.24,0,Semi-Urban,5-8 Lakh,Intermediate,"MS Office, Marketing, Teaching",Agriculture,Bangalore
36,Student_36,23,Female,Diploma,6.29,1,Rural,2-5 Lakh,Basic,"Excel, Data Analysis, Project Management, Field Work, MS Office",Marketing,Any
37,Student_37,20,Male,High School,6.92,0,Urban,5-8 Lakh,Basic,"Data Analysis, English, Healthcare, Marketing, Finance",Manufacturing,Rural
38,Student_38,18,Female,Diploma,6.09,0,Semi-Urban,5-8 Lakh,Intermediate,"Leadership, Teaching, Social Media",Healthcare,Delhi
39,Student_39,22,Male,Diploma,8.27,1,Rural,<2 Lakh,Basic,"Biology, Customer Service, Teaching",Agriculture,Rural
40,Student_40,20,Male,Diploma,8.44,1,Rural,2-5 Lakh,Intermediate,"Biology, Project Management, Design, Marketing",Manufacturing,Rural
41,Student_41,19,Female,Postgraduate,4.98,2,Semi-Urban,5-8 Lakh,Intermediate,"Sales, Social Media, Leadership",Government,Pune
42,Student_42,21,Female,Undergraduate,6.08,1,Urban,2-5 Lakh,Basic,"Agriculture, Healthcare",Media,Rural
43,Student_43,18,Male,Undergraduate,5.4,0,Urban,>8 Lakh,Advanced,"Excel, Chemistry",Finance,Bangalore
44,Student_44,24,Female,High School,6.42,2,Rural,2-5 Lakh,Intermediate,"Java, Communication, Leadership",Finance,Mumbai
45,Student_45,20,Female,Postgraduate,7.1,1,Urban,<2 Lakh,Intermediate,"English, Problem Solving, Mathematics, Local Language, Design",Marketing,Chennai
46,Student_46,22,Female,Undergraduate,5.46,0,Urban,2-5 Lakh,Basic,"Team Work, Excel, Marketing, Finance",Environment,Hyderabad
47,Student_47,20,Male,High School,6.09,1,Urban,>8 Lakh,Basic,"Agriculture, Teaching",Healthcare,Hyderabad
48,Student_48,21,Male,Undergraduate,6.0,2,Urban,2-5 Lakh,Intermediate,"Customer Service, Python",Environment,Hyderabad
49,Student_49,21,Female,Undergraduate,7.45,0,Rural,5-8 Lakh,Basic,"Local Language, Biology, Communication, Customer Service",Environment,Any
50,Student_50,19,Male,High School,7.28,0,Urban,5-8 Lakh,Advanced,"Chemistry, Teaching, English, MS Office",IT,Any
51,Student_51,25,Female,Undergraduate,6.33,0,Rural,2-5 Lakh,Basic,"Communication, Research, Design, Problem Solving",Healthcare,Rural
